time_elapsed_sec,total_timesteps,episodes,fps,ent_coef,learning_rate,ep_len_mean,ep_rew_mean,bankrupt_rate,avg_spread_ticks_mean,back_over_mean,lay_over_mean,over_diff_mean,tto_seconds_mean,liq_back_mean,liq_lay_mean,orders_submitted_mean,fills_mean,action_size_mean,action_clipped_rate,pnl_step_mean,pnl_step_std,pnl_sharpe_step,exposure_total_mean,green_ratio_at_off_mean,green_at_off_rate,tto_at_off_mean,pnl_mtm_at_off_mean,exposure_at_off_mean
25.39366102218628,1000,8,39.379906628126854,nan,nan,110.25,-0.4007383330407827,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.12485909461975,2000,17,35.01102727776125,nan,nan,114.17647058823529,-0.3392153370269638,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
88.69956302642822,3000,27,33.822038098498226,nan,nan,108.37037037037037,-0.3136526886447197,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
120.53556823730469,4000,35,33.18522539442458,nan,nan,111.02857142857142,-0.3299298152140137,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
153.03381276130676,5000,44,32.672517986588424,nan,nan,111.93181818181819,-0.3375525192148843,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
185.43411993980408,6000,54,32.35650484359475,nan,nan,109.66666666666667,-0.32141837466312284,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
217.53568959236145,7000,62,32.17862785236413,nan,nan,111.0,-0.31553210394606285,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
250.07946968078613,8000,71,31.989831113332084,nan,nan,111.53521126760563,-0.3210629060215164,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
283.4769551753998,9000,80,31.748612491027007,nan,nan,111.6,-0.3180778126707359,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
321.2753598690033,10000,88,31.125947548786176,nan,nan,112.36363636363636,-0.31164454354599513,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
362.41701340675354,11000,97,30.351775973757356,nan,nan,112.64948453608247,-0.31977649112461465,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
406.2431812286377,12000,100,29.538957340052633,nan,nan,112.87,-0.31465030872831806,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
448.4076690673828,13000,100,28.991475607538,nan,nan,112.78,-0.31179797959447364,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
491.6280183792114,14000,100,28.476814739230885,nan,nan,112.52,-0.32031314426655966,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
533.9840812683105,15000,100,28.090725035046432,nan,nan,111.95,-0.3166122651340094,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
575.533741235733,16000,100,27.800281466810745,nan,nan,112.3,-0.3161274676610275,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
621.4521749019623,17000,100,27.355282814291943,nan,nan,112.61,-0.3321018467497759,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
662.891161441803,18000,100,27.15377885088949,nan,nan,113.28,-0.3505505229384244,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
710.21257853508,19000,100,26.752553494885085,nan,nan,111.78,-0.3520205797044701,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
752.8062224388123,20000,100,26.567261805046506,nan,nan,111.83,-0.3490392236106953,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
791.2069058418274,21000,100,26.541729912805103,nan,nan,111.83,-0.35844127849950547,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
829.3020479679108,22000,100,26.528331931541636,nan,nan,112.24,-0.37521417160577075,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
867.5036113262177,23000,100,26.512857929015627,nan,nan,112.24,-0.37367856472664984,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
906.5112733840942,24000,100,26.475125797835563,nan,nan,112.39,-0.37219765701561697,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
944.6940968036652,25000,100,26.46359290757347,nan,nan,113.51,-0.4083059863453002,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
983.4907264709473,26000,100,26.43644652684791,nan,nan,114.85,-0.4132719950212025,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1022.2261390686035,27000,100,26.41294227185476,nan,nan,114.75,-0.43397720043075183,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1060.7316718101501,28000,100,26.39687372794073,nan,nan,114.66,-0.4499963679706884,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1098.9121968746185,29000,100,26.38973348596729,nan,nan,114.38,-0.40691350347323163,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1137.0365006923676,30000,100,26.38437726645742,nan,nan,116.1,-0.3907040627047411,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1176.1983125209808,31000,100,26.3560997069931,nan,nan,115.23,-0.41134158997325343,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1213.4572622776031,32000,100,26.370932866591016,nan,nan,115.23,-0.4082446108338454,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1252.388486623764,33000,100,26.349651368133095,nan,nan,115.23,-0.41087375281710026,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1292.997172832489,34000,100,26.295494463857413,nan,nan,113.39,-0.401363462402864,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1329.7126569747925,35000,100,26.321476159840373,nan,nan,112.87,-0.4253030167391271,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1364.9988527297974,36000,100,26.37364854044037,nan,nan,112.59,-0.3994918029221708,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1404.2195913791656,37000,100,26.34915523693851,nan,nan,112.41,-0.3916897200769654,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439.5972850322723,38000,100,26.39627095375366,nan,nan,113.28,-0.3818914019724497,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1477.0433144569397,39000,100,26.404100420263585,nan,nan,111.77,-0.38306203681159073,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1512.8469309806824,40000,100,26.440216244528152,nan,nan,111.84,-0.4018119581923725,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1553.6928174495697,41000,100,26.38874270353045,nan,nan,110.4,-0.4044657922419232,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1594.2355439662933,42000,100,26.34491506537882,nan,nan,111.98,-0.39716999081233445,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1635.3399407863617,43000,100,26.294227229185893,nan,nan,111.71,-0.40311055604928364,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1676.3758573532104,44000,100,26.247097157239274,nan,nan,110.94,-0.417504658866117,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1716.448325395584,45000,100,26.21692674006309,nan,nan,111.08,-0.4339346475154307,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1754.7344660758972,46000,100,26.21479254514761,nan,nan,111.84,-0.4152303974608895,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1793.3737308979034,47000,100,26.207588072826358,nan,nan,112.71,-0.418379095417547,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1832.2504770755768,48000,100,26.197291582432534,nan,nan,112.59,-0.4262156488099565,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1871.0652210712433,49000,100,26.18829073844148,nan,nan,112.23,-0.4391577089551144,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1910.3339622020721,50000,100,26.173434064044073,nan,nan,112.64,-0.4324297813980774,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1949.0597076416016,51000,100,26.16646365426688,nan,nan,112.92,-0.44398665630109735,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1987.527801990509,52000,100,26.163156031287713,nan,nan,113.27,-0.44997732820674696,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026.4125938415527,53000,100,26.15459465711558,nan,nan,112.75,-0.4672749816398036,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2065.3108570575714,54000,100,26.146185120497204,nan,nan,111.59,-0.4772245659045191,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2103.6845972537994,55000,100,26.144603650090097,nan,nan,112.47,-0.4674189175732481,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2142.1248207092285,56000,100,26.142267462014264,nan,nan,111.28,-0.4521132838592548,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2181.080602169037,57000,100,26.133834734633258,nan,nan,112.35,-0.4377715338219707,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2220.218829870224,58000,100,26.123551075093896,nan,nan,111.4,-0.4267086672554008,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2258.9545743465424,59000,100,26.11827642309593,nan,nan,111.34,-0.41503480958784805,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2297.751313686371,60000,100,26.11248643080512,nan,nan,111.7,-0.39995533501706587,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2336.6983687877655,61000,100,26.105209305061326,nan,nan,110.23,-0.3945405494573839,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2375.581111431122,62000,100,26.098877323809553,nan,nan,110.03,-0.37022978147253915,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2414.755851984024,63000,100,26.089594088047296,nan,nan,110.19,-0.37332101180065,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2454.0995893478394,64000,100,26.078811258432903,nan,nan,111.0,-0.367226243775449,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2493.425812959671,65000,100,26.06855181419882,nan,nan,112.04,-0.3724629187135134,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2532.6920776367188,66000,100,26.059227879602833,nan,nan,111.5,-0.35673397651557637,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2571.655821084976,67000,100,26.053253102793843,nan,nan,112.12,-0.3459152970069313,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2610.9865674972534,68000,100,26.04379541683396,nan,nan,111.73,-0.36630727003424823,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2650.2372744083405,69000,100,26.03540470368039,nan,nan,110.57,-0.3849721478283324,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2690.8200023174286,70000,100,26.014374777842274,nan,nan,109.62,-0.4119333141156764,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2730.7117409706116,71000,100,26.00054737918385,nan,nan,108.92,-0.408132923199702,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2769.9164855480194,72000,100,25.993563479497837,nan,nan,110.78,-0.40395002084756465,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2809.0952253341675,73000,100,25.987015086438014,nan,nan,111.08,-0.4182074026379755,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2849.572958469391,74000,100,25.968803423706017,nan,nan,110.94,-0.4173525468013522,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2889.3476963043213,75000,100,25.9574159579099,nan,nan,110.24,-0.435991815740198,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2930.098426580429,76000,100,25.937695235956898,nan,nan,110.2,-0.4194669783878301,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2969.7705552577972,77000,100,25.927928965312223,nan,nan,110.03,-0.4449663214105314,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3009.404326438904,78000,100,25.918750536355866,nan,nan,110.38,-0.4395286719992359,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3048.6280200481415,79000,100,25.913295909007783,nan,nan,108.54,-0.4259011371077879,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3088.9837481975555,80000,100,25.898485236991156,nan,nan,109.42,-0.40846744484543085,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3128.9274740219116,81000,100,25.88746484937949,nan,nan,109.35,-0.41086548227508723,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3168.4592039585114,82000,100,25.880087045953875,nan,nan,109.59,-0.43111995466379077,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3211.254912853241,83000,100,25.8465933887053,nan,nan,108.38,-0.4523058224048415,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3251.1916613578796,84000,100,25.836680438863116,nan,nan,108.55,-0.4400405912327045,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3290.6823749542236,85000,100,25.83050878654991,nan,nan,109.19,-0.4370430357142443,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3330.3291022777557,86000,100,25.823273724263736,nan,nan,108.26,-0.41878483642655584,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3370.0918316841125,87000,100,25.81532027764481,nan,nan,108.5,-0.4254428883811071,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3409.5935633182526,88000,100,25.80952784130595,nan,nan,107.67,-0.45167170823243546,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3449.759288787842,89000,100,25.79890147386844,nan,nan,107.73,-0.46860030805928354,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3488.961023569107,90000,100,25.795645004922577,nan,nan,107.73,-0.49171774568825843,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3528.8237545490265,91000,100,25.78762962664015,nan,nan,107.82,-0.5132308526411604,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3568.97247838974,92000,100,25.777727499178937,nan,nan,108.01,-0.5104850430972213,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3608.487252473831,93000,100,25.772572685754398,nan,nan,107.16,-0.4865338016435549,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
